;w1;w2;w3;expected;prdicted;cosine;group;result
0;алжир;алжир;ирак;багдад;иракского;0.9251920580863953;: capital-world;False
1;тунис;тунис;алжир;алжир;берб;0.8283739686012268;: capital-world;False
2;тунис;тунис;ирак;багдад;иракского;0.9251920580863953;: capital-world;False
3;мальчик;девочка;сестра;брат;брата;0.9921901822090149;: family;False
4;мальчик;девочка;сестры;братья;брата;1.00227689743042;: family;False
5;мальчик;девочка;мать;отец;отец;1.0261674523353577;: family;True
6;мальчик;девочка;королева;король;король;0.9521082043647766;: family;True
7;мальчик;девочка;женщина;мужчина;мужчина;0.8469408750534058;: family;True
8;мальчик;девочка;дочери;сыновья;сыном;1.0083039999008179;: family;False
9;брат;сестра;сестры;братья;братья;0.9318655133247375;: family;True
10;брат;сестра;мать;отец;братской;0.9052923917770386;: family;False
11;брат;сестра;королева;король;король;0.9399875402450562;: family;True
12;брат;сестра;женщина;мужчина;женщины;0.7990694642066956;: family;False
13;брат;сестра;дочери;сыновья;внука;0.8616279363632202;: family;False
14;брат;сестра;девочка;мальчик;юноши;0.8274810910224915;: family;False
15;братья;сестры;мать;отец;братьями;0.903978168964386;: family;False
16;братья;сестры;королева;король;король;0.9075129628181458;: family;True
17;братья;сестры;женщина;мужчина;женщины;0.7829622626304626;: family;False
18;братья;сестры;дочери;сыновья;братьями;0.8856580257415771;: family;False
19;братья;сестры;девочка;мальчик;юноши;0.8149060010910034;: family;False
20;братья;сестры;сестра;брат;братьями;0.9520213007926941;: family;False
21;отец;мать;королева;король;король;0.9535230994224548;: family;True
22;отец;мать;женщина;мужчина;мужчина;0.8019101023674011;: family;True
23;отец;мать;дочери;сыновья;сына;0.9525917768478394;: family;False
24;отец;мать;девочка;мальчик;мальчиков;0.8545069098472595;: family;False
25;отец;мать;сестра;брат;братом;0.9707728028297424;: family;False
26;отец;мать;сестры;братья;братом;0.9662652015686035;: family;False
27;король;королева;женщина;мужчина;женщине;0.7921037673950195;: family;False
28;король;королева;дочери;сыновья;сына;0.9272227883338928;: family;False
29;король;королева;девочка;мальчик;юноши;0.821535050868988;: family;False
30;король;королева;сестра;брат;братом;0.9282416701316833;: family;False
31;король;королева;сестры;братья;братом;0.9237340688705444;: family;False
32;король;королева;мать;отец;отец;0.9241061210632324;: family;True
33;мужчина;женщина;дочери;сыновья;сына;1.014588713645935;: family;False
34;мужчина;женщина;девочка;мальчик;мальчика;0.9630212783813477;: family;False
35;мужчина;женщина;сестра;брат;брата;1.0357452630996704;: family;False
36;мужчина;женщина;сестры;братья;брата;1.0458319783210754;: family;False
37;мужчина;женщина;мать;отец;отец;1.0634093880653381;: family;True
38;мужчина;женщина;королева;король;король;0.9870123267173767;: family;True
39;сыновья;дочери;девочка;мальчик;мальчики;0.8615378141403198;: family;False
40;сыновья;дочери;сестра;брат;братом;0.9826192855834961;: family;False
41;сыновья;дочери;сестры;братья;братом;0.9781116843223572;: family;False
42;сыновья;дочери;мать;отец;отец;0.97819983959198;: family;True
43;сыновья;дочери;королева;король;король;0.9536545276641846;: family;True
44;сыновья;дочери;женщина;мужчина;мужчины;0.7846165895462036;: family;False
45;спокойный;спокойно;полностью;полный;целиком;0.8615221977233887;: gram1-adjective-to-adverb;False
46;спокойный;спокойно;эффективно;эффективный;эффективный;0.9096607565879822;: gram1-adjective-to-adverb;True
47;спокойный;спокойно;бесплатно;бесплатно;бесплатный;0.8789908289909363;: gram1-adjective-to-adverb;False
48;спокойный;спокойно;больше;наибольший;больший;0.9329350292682648;: gram1-adjective-to-adverb;False
49;спокойный;спокойно;случайно;случайный;случайное;0.8528311848640442;: gram1-adjective-to-adverb;False
